Linha|              Instrução             | opcode |  rd  | funct3|  rs1 |  rs2 | funct7 |    Tipo   |   trava   | Nop | Motivo
_____| ___________________________________| _______| _____| ______| _____| _____| _______| __________| ____|________________________________________________________________________________
001  | 00000010100000000000000001101111   | 1101111| 00000| 000   | 00000| 01000| 0000001| jump      | Não | 
002  | 00000000000000000000000000110011   | 0110011| 00000| 000   | 00000| 00000| 0000000| NOP       | Sim | Inserido NOP devido a Desvio do tipo jump
003  | 00000000000000000000000000110011   | 0110011| 00000| 000   | 00000| 00000| 0000000| NOP       | Sim | Inserido NOP devido a Desvio do tipo jump
004  | 00000000011100110111001010110011   | 0110011| 00101| 111   | 00110| 00111| 0000000| alu       | Não | 
005  | 00000000000000101010010000000011   | 0000011| 01000| 010   | 00101| 00000| 0000000| load      | Não | 
006  | 00000000011100110111001010110011   | 0110011| 00101| 111   | 00110| 00111| 0000000| alu       | Não | Reordenado para evitar hazard
007  | 00000000100001000000001010110011   | 0110011| 00101| 000   | 01000| 01000| 0000000| alu       | Não | 
008  | 11111110010111100000100011100011   | 1100011| 10001| 000   | 11100| 00101| 1111111| branch    | Não | 
009  | 00000000100001000000001010110011   | 0110011| 00101| 000   | 01000| 01000| 0000000| alu       | Não | Reordenado para delay slot de branch
010  | 00000000000000000000000000110011   | 0110011| 00000| 000   | 00000| 00000| 0000000| NOP       | Sim | Inserido NOP devido a Desvio do tipo branch
011  | 01000000010111110000111010110011   | 0110011| 11101| 000   | 11110| 00101| 0100000| alu       | Não | 
012  | 00000000000000001000000011100111   | 1100111| 00001| 000   | 00001| 00000| 0000000| jump      | Não | 
013  | 00000110010010100000100110010011   | 0010011| 10011| 000   | 10100| 00100| 0000011| alu       | Não | Reordenado para delay slot de jump
014  | 00000000000010010010010010000011   | 0000011| 01001| 010   | 10010| 00000| 0000000| load      | Não | Reordenado para delay slot de jump
015  | 11111101110111111111000011101111   | 1101111| 00001| 111   | 11111| 11101| 1111110| jump      | Não | 
016  | 01000000010111110000111010110011   | 0110011| 11101| 000   | 11110| 00101| 0100000| alu       | Não | Reordenado para delay slot de jump
017  | 00000000000000000000000000110011   | 0110011| 00000| 000   | 00000| 00000| 0000000| NOP       | Sim | Inserido NOP devido a Desvio do tipo jump
